model_name,model_id,vendor,context_length,input_price_usd_per_m,output_price_usd_per_m,description
Cohere: Command R+ (08-2024),cohere/command-r-plus-08-2024,cohere,128000,2.5,10.0,"command-r-plus-08-2024 is an update of the [Command R+](/models/cohere/command-r-plus) with roughly 50% higher throughput and 25% lower latencies as compared to the previous Command R+ version, while keeping the hardware footprint the same.  Read the launch post [here](https://docs.cohere.com/changelog/command-gets-refreshed).  Use of this model is subject to Cohere's [Usage Policy](https://docs.cohere.com/docs/usage-policy) and [SaaS Agreement](https://cohere.com/saas-agreement)."
Cohere: Command R (08-2024),cohere/command-r-08-2024,cohere,128000,0.15,0.6,"command-r-08-2024 is an update of the [Command R](/models/cohere/command-r) with improved performance for multilingual retrieval-augmented generation (RAG) and tool use. More broadly, it is better at math, code and reasoning and is competitive with the previous version of the larger Command R+ model.  Read the launch post [here](https://docs.cohere.com/changelog/command-gets-refreshed).  Use of this model is subject to Cohere's [Usage Policy](https://docs.cohere.com/docs/usage-policy) and [SaaS Agreement](https://cohere.com/saas-agreement)."
